"","track_id","artist_name","title","loudness","tempo","time_signature","key","mode","duration","song_hotttnesss","year","decade"
"3695","TRAGONI128F4292FAE","BeauSoleil","'Ti Monde (LP Version)",-13.758,119.663,4,5,1,268.30322,0,1991,1985
"3698","TRAGOVG128F42A963D","Korn","Make Me Bad",-6.378,110.071,4,2,1,231.73179,NA,1999,1995
"3701","TRAGPAF128EF34542A","From Autumn To Ashes","Sensory Deprivation Adventure",-5.911,93.061,4,2,0,175.80363,0.600471581,2007,2005
"3703","TRAGPEA128F422B47E","Casiotone For The Painfully Alone","Dying Batteries",-20.499,78.16,1,0,1,51.01669,0.673959844,2001,1995
"3707","TRAGPMS128F4248295","Patton Oswalt","A Brief History of Shitty Comedy",-13.322,75.669,3,8,0,121.96526,0.509640966,2004,1995
"3712","TRAGQCY128F147B630","45 Grave","Surf Bat (Album Version)",-10.285,173.581,4,9,1,118.38649,0.214864227,1983,1975
"3715","TRAGQKG128F9332F7A","Brian Tyler","I Dream Of Chi Chi",-19.963,104.988,3,0,1,52.87138,0.212045405,2009,2005
"3717","TRAGQLG128F9351109","Brian Eno And David Byrne","The Jezebel Spirit",-8.209,118.203,4,1,1,296.33261,NA,1981,1975
"3719","TRAGQQK128F42561AB","Edu Lobo","Canto Triste",-18.581,84.853,1,2,0,309.52444,NA,1967,1965
"3720","TRAGQVO128F145C0AF","Gang Starr","Say Your Prayers",-18.7,166.092,4,0,1,84.63628,0.572593045,1991,1985
"3724","TRAGRBP128F422B80A","Stephan Micus","Part 1 (19 Flowerpots_ 2 Hammered Dulcimers_ Bavarian Zither_ Shakuhachi)",-22.517,142.158,4,0,1,519.8624,NA,1988,1985
"3727","TRAGRIH128F426FE32","Gabriel Yared","Devon",-19.64,111.577,3,9,1,229.98159,0.313562114,2003,1995
"3730","TRAGRRP12903CD2911","Wolfmother","White Feather",-6.183,110.441,4,4,1,316.21179,NA,2009,2005
"3733","TRAGSGF128E0780CA7","Coldplay","One I Love",-7.446,134.027,4,2,1,274.41587,0.810263613,2002,1995
"3734","TRAGSIT128F426F746","ZO2","Isolate",-4.098,150.715,4,7,1,276.4273,0.405115722,2007,2005
"3737","TRAGSJQ128F149EF8D","Every Time I Die","California_ Gracefully",-4.029,93.458,1,9,1,171.59791,0.574693297,2001,1995
"3738","TRAGSKH12903CCCAA9","Andrew W.K.","Don't Call Me Andy",-3.378,120.153,4,2,1,165.51138,0.53066303,2006,2005
"3740","TRAGSOA128E078F934","Burning Spear","It's A Long Way Around",-19.633,122.376,4,0,1,185.5473,0.496175336,1977,1975
"3741","TRAGSQU128F145693D","Methods Of Mayhem / Scott Kirkland","Narcotic",-3.246,116.04,4,1,1,199.31383,0.605855031,1999,1995
"3742","TRAGSWL12903CF67CB","Lisa Lynne","Still I Will",-9.559,106.009,4,9,0,261.95546,0.727891634,2001,1995
"3744","TRAGSZA128F146A11A","Bryan Ferry","Don't Worry Baby (1999 Digital Remaster)",-8.662,116.36,4,4,1,253.12608,0.407233015,1973,1965
"3745","TRAGTDM12903CE2E9D","Maysa","OuÃ§a",-10.919,103.172,4,9,1,180.87138,NA,2008,2005
"3746","TRAGTFI12903CA06E7","BLEED THE SKY","Kettle Black",-5.992,116.064,4,1,0,202.91873,0.457447167,2008,2005
"3750","TRAGTPQ128F42920A5","Dolores Keane","Storm In My Heart",-12.577,149.619,3,5,1,272.5873,NA,1993,1985
"3754","TRAGTXE128F4229231","Hurricane","I'm On To You",-4.618,110.177,4,8,1,236.042,NA,1988,1985
"3756","TRAGUCZ128F426E5F6","Charlie McCoy","Night Life",-13.027,90.81,3,7,1,282.53995,NA,1991,1985
"3758","TRAGUJK128F42A75C3","MÃ¶tley CrÃ_e","Wild Side",-5.938,115.254,5,7,1,248.55465,NA,1987,1985
"3760","TRAGUMU128F92F6963","Cockney Rejects","Big Time Charlie",-3.132,84.59,4,2,1,182.25587,NA,2007,2005
"3766","TRAGVAO128F4289B5D","Mobb Deep","Up North Trip",-5.16,87.747,4,6,0,298.00444,0.636635971,1995,1995
"3768","TRAGVCD128F42A4C01","Mr. Lif","For You",-7.144,107.32,3,10,0,327.6273,0.419674279,2006,2005
"3771","TRAGVJG128F93386C6","Cherrelle","Into My Eyes",-6.222,145.607,4,8,0,290.82077,0,1999,1995
"3772","TRAGVJI128F9331513","Jim Chappell","Almost Us",-23.69,86.39,4,7,1,217.49506,0,1997,1995
"3776","TRAGVOF128F4292ED0","The Paul Butterfield Blues Band","Pretty Woman (LP Version)",-13.705,77.207,1,3,1,228.75383,0.249199656,1971,1965
"3777","TRAGVRD12903D09FED","Arsonists Get All The Girls","Violence in Fluid Triceratops",-3.424,129.824,3,1,1,240.92689,0.731473357,2009,2005
"3778","TRAGVRL128F4264526","Teena Marie","How Can You Resist It",-11.037,81.947,4,9,1,328.56771,0.266955186,1990,1985
"3779","TRAGVTG128F92FE9E2","Jerry Butler","He Will Break Your Heart",-18.341,87.758,1,11,1,167.18322,NA,1960,1965
"3783","TRAGWJK12903CE640F","RUN-DMC","Faces",-13.306,73.507,5,10,0,267.59791,0.450762242,1990,1985
"3785","TRAGWKV128F92C316A","Avril Lavigne","How Does It Feel",-4.772,118.055,4,0,1,224.93995,NA,2004,1995
"3786","TRAGWMO12903CFD994","Evergreen Terrace","Look Up At The Stars And You're Gone",-4.732,112.421,1,7,1,159.4771,0.510962044,2001,1995
"3787","TRAGWOU12903CE3BF1","James Ingram","A Baby's Born",-11.937,76.385,3,2,0,376.68526,0,1993,1985
"3788","TRAGWPR128F426BDC3","Danilo Perez / Claus Ogerman","The Saga Of Rita Joe",-14.117,100.394,4,4,1,459.31057,0,2008,2005
"3789","TRAGWTT128F148CF2C","Sister Hazel","Cerilene",-8.416,119.461,4,10,1,332.93016,0.598242155,1997,1995
"3791","TRAGXAI128F4279B2B","Juan Carlos Baglietto","Tiempos Dificiles",-14.511,97.342,3,10,1,232.61995,0.201387442,1982,1975
"3793","TRAGXBL128F149EBA2","Crabby Appleton","Go Back",-4.594,89.091,1,1,1,186.69669,0.57010593,1970,1965
"3798","TRAGXKH128F428BD2F","Billy Bragg","Goodbye (Solo Version)",-17.81,81.256,4,0,1,180.1922,0.231584988,2008,2005
"3801","TRAGXUZ128F9311745","Johnny Cash","You Tell Me",-13.136,196.303,4,1,1,80.03873,NA,1959,1965
"3802","TRAGYBS128F4227AD5","Lil Boosie","I Remember (amended album version)",-3.165,171.85,4,10,1,243.35628,0.591538929,2006,2005
"3805","TRAGYJM128EF3466D2","Dinosaur Jr.","Been There All The Time",-3.868,253.357,4,2,1,220.70812,0.62921271,2007,2005
"3807","TRAGYLX128F427C5EC","Wilshire","When",-4.601,126.179,4,10,1,181.49832,NA,2003,1995
"3815","TRAGZCW128EF34B85B","Krystof","Ostravaczech",-10.084,130.042,4,0,1,285.67465,0.43483809,2006,2005
"3818","TRAGZHM12903CAEF3A","MÃ_go de Oz","QuÃ© DesilusiÃ_n",-4.638,121.955,4,7,1,295.31383,0.43965466,2010,2005
"3820","TRAGZKI128F4249FBE","Moraes Moreira","Banho De Amor",-7.437,132.558,4,0,1,280.65914,0,1991,1985
"3823","TRAGZQD128F428E68B","Plasmatics","Dream Lover",-11.685,125.363,4,0,1,344.24118,0.542898743,1980,1975
"3824","TRAGZRF128E0781872","Inspiral Carpets","Party In The Sky",-11.319,187.66,4,7,1,232.12363,0.531722098,1994,1985
"4134","TRAHABN12903CBD3C5","Bryan White","I Can't Wait 'Til Christmas (LP Version)",-8.278,126.618,4,0,1,240.90077,0,1999,1995
"4138","TRAHBEF128F42416F7","Bounty Killer","Gun Thirsty",-7.629,96.006,4,7,1,225.25342,NA,2001,1995
"4139","TRAHBGV128F92F0790","M.I.K.E.","Hollow Dream",-10.744,135.053,4,6,1,440.52853,0.340922756,2006,2005
"4143","TRAHBNZ128F92FC2A7","Camp Lo","Uptown",-9.06,90.983,3,9,0,214.46485,0.413739836,2009,2005
"4144","TRAHBOC128F9322A62","The Gone Jackals","That Blows My Mind (Slammin' and Way Out There!)",-5.376,177.563,3,2,1,228.93669,0.386790177,1998,1995
"4146","TRAHBQT128F4213403","Blackalicious","Ego Trip by Nikki Giovanni",-5.625,60.017,1,1,0,104.93342,0.645131437,1999,1995
"4147","TRAHBWE128F9349247","The Shirelles","Dedicated To The One I Love",-11.539,71.597,4,10,1,127.29424,0,1960,1965
"4148","TRAHBWK12903D0044A","Burning Spear","Walking In Dub",-13.615,135.033,1,11,0,146.88608,0.521659258,2009,2005
"4149","TRAHBXB128F42797AE","Alice In Chains","I Know Somethin (Bout You)",-9.66,114.758,5,3,0,261.77261,NA,1990,1985
"4150","TRAHCBD128F9336A3E","Toots & The Maytals","Sweet & Dandy",-5.914,163.748,7,4,1,169.53424,NA,1984,1975
"4151","TRAHCDJ128F9310F1C","Fever Ray","When I Grow Up",-6.637,122.934,4,0,1,359.36608,0.515963631,2009,2005
"4152","TRAHCHN128F4276D58","Gipsy Kings","Somos Gitanos",-5.057,118.056,4,7,1,222.92853,0.523166108,2001,1995
"4154","TRAHCQZ12903CFF0B9","Patrick Lamb","I Remember",-5.536,93.041,4,5,1,290.37669,0,2007,2005
"4156","TRAHCTH128F9330B4A","Amoral","The Last Round",-5.532,141.746,5,7,1,520.88118,0.450762242,2004,1995
"4157","TRAHCUE128F935916E","Melvins","You've Never Been Right - (Live In Boston_ MA 2008)",-14.682,115.007,1,7,1,165.38077,0.334706549,2009,2005
"4158","TRAHCVT128F4282806","L.A. Guns","Magdalaine",-9.244,150.3,4,1,1,398.44526,0.64068403,1989,1985
"4163","TRAHDJL128F9305B80","Janis Joplin","Piece Of My Heart",-10.561,80.455,4,4,1,266.23955,NA,1972,1965
"4168","TRAHDSO128F426B033","Jimmy Wyble","No More Blues",-18.891,80.016,7,8,1,181.96853,0.266955186,2005,2005
"4170","TRAHDXD128F4264AA2","Charlie Peacock","Hot Night Downtown",-9.535,118.155,4,4,1,202.34404,0.288481643,1988,1985
"4171","TRAHDYQ128F930CE03","Paul Geremia","Tootie Blues",-14.554,116.318,1,0,1,204.56444,0.319565987,2004,1995
"4173","TRAHECO128F9360EB4","Walter Trout","Obstacles in My Way",-8.392,166.411,4,7,1,233.24689,0,1997,1995
"4176","TRAHEEY128F9335ECD","Sean Kingston","Face Drop",-3.426,168.02,4,2,1,184.58077,0.917551963,2009,2005
"4177","TRAHEII128F9307D9A","Blind Lemon Jefferson","Gone Dead On You Blues",-24.321,132.59,1,5,0,165.35465,NA,1972,1965
"4179","TRAHEPG12903CAECB2","Gabriel Yared","Les chasseurs d'esclaves",-13.005,111.034,4,2,1,118.83057,0,2006,2005
"4180","TRAHEQC128F42153D6","Sergio Dalma","La Marca De Tus Labios",-6.213,124.008,4,0,1,279.24853,0,1995,1995
"4182","TRAHEUP12903CA1AFC","The Jane Shermans","Ammunition",-6.299,140.143,4,2,1,235.49342,0.202216974,2008,2005
"4183","TRAHEWR128F422BDF8","Bon Jovi","I Love This Town",-3.38,134.293,4,1,1,286.35383,NA,2007,2005
"4185","TRAHEYD128F934A130","Blind Boy Fuller","Got To Find My Little Woman",-14.243,87.899,4,10,1,151.19628,0,2005,2005
"4187","TRAHFAO12903CBCD36","Dave ""Baby"" Cortez","The Happy Organ",-11.19,185.559,4,0,1,125.6224,NA,1976,1975
"4189","TRAHFHR12903CCCAF8","Andrew W.K.","Can You Dance With Me?",-2.445,161.874,1,2,1,127.4771,0.604554485,2006,2005
"4190","TRAHFLM128F426FD27","John Debney","Buddy and Santa's Flight",-17.712,83.95,4,0,1,74.762,0,2003,1995
"4191","TRAHFOU128F42B3F2A","Rakim","Outro",-22.214,50.059,4,0,1,79.93424,0.621126117,1997,1995
"4192","TRAHFPA128F14A473A","Tommy James And The Shondells","Out Of The Blue",-11.693,133.312,1,0,1,146.02404,0.641228738,1989,1985
"4194","TRAHFQG128F149892A","Terry Callier","Satin Doll",-19.933,92.927,3,7,1,258.19383,0.360370583,2007,2005
"4195","TRAHFSC128F92EACAB","The Chieftains","The Raggle Taggle Gypsy",-6.984,210.957,4,7,0,187.92444,0.518759898,2003,1995
"4196","TRAHFWJ128F92C9F86","Count Ossie","No Night In Zion - Original",-14.835,137.714,1,11,1,234.9971,0.335920479,1994,1985
"4197","TRAHFYH128F92CE223","Trivium","Shogun [with fade_ for special edition]",-4.002,140.112,4,11,0,678.76526,0.49271364,2008,2005
"4205","TRAHGMC128F92FB531","Precious Bryant","When The Saints Go Marching In",-11.425,130.453,1,9,1,164.8322,0.265861049,2002,1995
"4206","TRAHGMV128F92CD444","Casiotone For The Painfully Alone","Town Topic (Instrumental)",-7.807,125.663,1,0,1,115.17342,0.557187768,2008,2005
"4208","TRAHGSZ128F930C9A6","Jeff Wahl","Waterfall",-23.366,243.195,4,1,0,43.88526,0,2003,1995
"4210","TRAHGXT12903CF1566","Kapelle Herrenweide","Humppa",-12.246,109.293,1,2,0,214.36036,NA,2009,2005
"4214","TRAHHJY12903CA73BD","John Debney","Porcelain Man",-32.637,91.249,4,10,1,76.79955,0.304169503,1999,1995
"4215","TRAHHMM128F932D5D9","Sonic Subjunkies","Turntable Terrorist",-10.22,149.853,3,7,1,327.73179,0.340922756,1995,1995
"4216","TRAHHMV12903CD0B0D","Backstreet Boys","PDA",-5.98,122.988,4,6,0,228.38812,0.581987157,2009,2005
"4217","TRAHHPE128F934AC3B","Lizzy Borden","(Wake Up) Time to Die",-9.657,107.886,4,5,1,371.19955,0.375984302,1985,1985
"4218","TRAHHSV128F42374E3","John Stevens","I Only Have Eyes For You (Album Version)",-12.785,244.366,4,10,1,245.44608,0.574882892,2005,2005
"4224","TRAHIJE128F4243356","Jack Off Jill","Horrible",-12.625,177.866,1,8,1,149.36771,0.613652202,1995,1995
"4225","TRAHIPA128F4279744","K's Choice","Another Year",-11.622,171.648,4,9,1,207.56853,NA,2000,1995
"4226","TRAHIRO128F93093A1","Los Fabulosos Cadillacs","Noches Arabes",-15.909,0,4,0,0,187.0624,0.43483809,1986,1985
"4231","TRAHIZR128F148D3D1","John Hiatt","Memphis In The Meantime",-8.626,181.355,4,9,1,239.5424,0.608552821,1987,1985
"4232","TRAHJCI128F92FFB38","Kool Moe Dee","Knowledge Is King",-16.205,107.905,4,5,1,219.76771,0.386790177,1989,1985
"4233","TRAHJPC128F4268DC7","Carlos Ponce","Decir Adios",-8.704,84.631,5,1,0,269.97506,0.371458477,1999,1995
"4235","TRAHKCD128F42969ED","Desert Dwellers","Pranafestation",-11.128,86.675,3,10,1,406.17751,0.483891999,2006,2005
"4237","TRAHKGQ128F1458CAB","Brand X","Collapsar",-27.885,158.578,4,2,0,95.76444,NA,1977,1975
"4238","TRAHKLC12903CC632E","Black Eyed Peas","Let's Get It Started",-5.939,107.199,4,6,0,223.03302,NA,2004,1995
"4239","TRAHKMS128F934B09E","Lizzy Borden","There Will Be Blood Tonight",-3.053,115.418,4,10,0,235.65016,0.511424326,2000,1995
"4241","TRAHKNW128F9312CFD","Righteous Brothers","Harlem Shuffle",-8.602,103.225,4,3,1,188.55138,0,1999,1995
"4244","TRAHKRO128F9320EA7","The Tragically Hip","The Drop-Off",-3.926,165.224,3,4,1,219.89832,0.471578248,2006,2005
"4246","TRAHLDG128F92EB4A9","Michael Jackson","Tabloid Junkie",-6.779,111.132,4,10,0,272.71791,NA,1995,1995
"4247","TRAHLDM128F933A3B1","Sui Generis","Bubulina",-14.886,109.305,5,9,0,319.00689,0.266955186,1975,1975
"4248","TRAHLDS12903CBADB8","Flowin Immo et Les Freaqz","Immonumental",-6.79,51.714,4,4,0,185.10322,0.299877488,2009,2005
"4249","TRAHLIF128F92E9CCF","Bebo Norman","Borrow Mine",-5.174,144.022,4,1,1,280.39791,0.473346541,2004,1995
"4250","TRAHLMD128F146A75F","Photek","Under The Palms",-15.006,105.085,4,2,1,157.3873,0.468997788,2000,1995
"4251","TRAHLNJ128F4214527","Isabel Pantoja","Limosna De Amores",-8.361,128.502,3,4,0,237.322,NA,1999,1995
"4252","TRAHLQF12903CDB530","BigElf","Superstar",-4.456,120.07,4,10,0,225.59302,0.664542415,2008,2005
"4255","TRAHLVW128F426684F","Bobby Pulido","Mi Alma Esta Enamorada",-9.433,199.826,4,2,1,233.06404,0,1996,1995
"4260","TRAHMIV128F14693DC","Mike And The Mechanics","Nobody's Perfect",-6.951,97.882,4,5,1,283.24526,NA,1988,1985
"4261","TRAHMLN128E0786AC2","Joe Rogan","Tigers Fucking (Spoken Word) (Album Version)",-11.926,83.99,3,4,1,356.362,0.355285536,2000,1995
"4262","TRAHMLW128F92D9D82","In Extremo","Vollmond",-5.065,110.133,1,2,0,297.45587,NA,2000,1995
"4264","TRAHMQV12903CB2DB7","Don Francisco","Give Your Heart a Home",-15.636,103.584,7,7,1,280.73751,0.445454525,1991,1985
"4265","TRAHMWO128F42A2181","Mavado","Real McKoy Feat. Busy Signal",-6.088,125.348,3,7,1,211.30404,0.478726288,2007,2005
"4267","TRAHNDR128F4282683","Hanoi Rocks","No Comprimise_ No Regrets",-3.764,126.105,4,4,1,240.66567,0.327736683,2005,2005
"4272","TRAHNMN128F932DA8E","Atari Teenage Riot","Destroy 2000 Years Of Culture",-5.054,114.037,4,11,0,231.47057,NA,1997,1995
"4273","TRAHNPU128F42AEE9C","RUN-DMC","Crack",-6.905,96.686,4,1,0,101.74649,0.270775999,1988,1985
"4276","TRAHNVN128F933EBE8","Otis Spann","Evil Ways",-23.893,115.38,3,5,1,233.63873,0.680655631,1989,1985
"4278","TRAHOBV128F933CE68","Atman","Distant Voices",-11.783,91.007,4,1,0,268.22485,0.379523324,2002,1995
"4282","TRAHOIN128F1473575","Gonzalo Rubalcaba","Improv #1",-24.57,72.071,1,3,1,206.00118,NA,2006,2005
"4283","TRAHOLR12903CD4869","George Lopez","Kids In the Store",-15.336,83.883,1,5,1,261.51138,NA,2003,1995
"4284","TRAHOOP128F42B62AB","Cam'Ron / Juelz Santana","Losing Weight Part 2",-6.426,110.57,3,2,1,366.05342,0.474054831,2002,1995
"4285","TRAHORF12903CDA9FB","Minipop","Fingerprints",-4.993,160.051,4,2,1,163.00363,0.673074435,2007,2005
"4286","TRAHOSA128EF34B865","Krystof","Star",-7.016,105.157,3,0,1,301.24363,0.413739836,2004,1995
"4287","TRAHOSP128F4260E9B","Jeff Beck Group","Jody",-12.569,159.415,1,0,1,367.46404,0.284327696,1971,1965
"4294","TRAHPBP128E079367D","Taste","On The Boards",-13.839,161.529,1,9,0,362.03057,0.698708462,1970,1965
"4295","TRAHPHY128F9345BA0","Cece Winans","Life",-7.181,124.332,4,0,0,248.99873,0.349166902,1998,1995
"4298","TRAHPNB12903CCB8FA","Toots & The Maytals","She Will Never Let Me Down",-9.969,115.75,4,5,1,125.88363,0.460963161,1998,1995
"4301","TRAHPUC128F92D1EC3","Hot Tuna","Death Don't Have No Mercy",-15.202,116.806,1,2,1,375.562,NA,1970,1965
"4302","TRAHQBJ12903CAB1FA","Year Long Disaster","Stranger In My Room",-4.776,166.025,4,9,1,222.04036,0.650248724,2010,2005
"4305","TRAHQHC128F42A77D8","Bob Wills","Bubbles in My Beer",-15.987,86.197,4,0,1,137.42975,NA,1991,1985
"4306","TRAHQHK128F4288FC7","Bacilos","Sangre americana",-5.047,156.002,4,10,1,229.32853,0.542898743,2004,1995
"4308","TRAHQKV12903CB6CA9","Dobet GnahorÃ©","Wigue",-15.912,142.782,3,1,0,46.21016,0.405115722,2010,2005
"4311","TRAHQWU128F4277B78","Red I Flight","Of Myth And Men (Album Version)",-5.033,92.439,4,6,1,259.29098,0.358976526,2008,2005
"4315","TRAHRGA12903CBB8AA","3 Steps Ahead","My Mind Is Gone",-16.459,74.551,1,9,0,45.50485,NA,1997,1995
"4316","TRAHRIG12903CC4871","Fat Joe","Prove Something (explicit album version)",-3.775,159.499,4,1,1,235.17995,0.228096066,2002,1995
"4318","TRAHRJN128F42ACA90","BÃ©nabar","Christelle Est Une Ordure",-14.658,100.312,3,2,1,224.9922,0,2005,2005
"4323","TRAHROM128F9308F9B","Sneaky Sound System","I Love It [Clubstar Remix]",-6.424,145.032,4,11,0,342.02077,0,2006,2005
"4324","TRAHRPF128F4252CB3","Bally Sagoo","Punjabian Di Chale Glassi",-12.686,96.043,4,6,0,282.25261,0,2003,1995
"4325","TRAHRQI128F422BF78","Los Titanes","No La Dejes Sola",-6.453,103.548,4,2,1,214.17751,0.465641757,2008,2005
"4326","TRAHRRS128F4282F7A","Blue Rodeo","Mystic River",-7.225,121.795,4,7,1,251.402,0.334706549,2007,2005
"4327","TRAHRSA128F93235CB","Whitney Cummings","Romance",-4.429,106.41,1,6,0,48.63955,0.215080319,2009,2005
"4330","TRAHSAW128F4253EFC","Nick Cave & The Bad Seeds","Rock Of Gibraltar",-8.537,158.404,3,7,1,180.03546,0.590860298,2003,1995
"4331","TRAHSFC128F9303E8E","Nando Lauria","O Come All Ye Faithful",-12.928,106.658,4,10,1,210.52036,0.425304242,2003,1995
"4344","TRAHSWZ128F9332296","Cheo Feliciano","Juguete",-6.071,165.346,4,3,1,269.26975,NA,1972,1965
"4345","TRAHSYA128F428143A","Screamin' Jay Hawkins","I Put a Spell on You",-6.56,130.335,1,5,0,211.33016,NA,1956,1965
"4346","TRAHTBV128F933668F","Atman","Luminous Bliss",-8.732,118.058,4,9,0,290.48118,0.313562114,2005,2005
"4353","TRAHTNH12903CAB43D","Sandy Posey","When Will I Be Loved",-12.892,120.92,1,4,1,125.36118,0.215080319,1990,1985
"4358","TRAHTZF128F4229377","Stephan Micus","Contessa Entellina",-25.395,82.581,1,8,1,274.65098,0.367273416,2001,1995
"4365","TRAHUGQ128F92FF08F","Boards of Canada","Happy Cycling",-13.207,100.013,4,7,0,472.52853,0.685473638,1996,1995
"4366","TRAHUHP128F424BD36","MU330","Cursed Again",-7.554,126.274,4,0,0,132.44036,0.460484845,1997,1995
"4367","TRAHULA128F92CC05F","Simon & Garfunkel","Old Friends",-23.964,149.9,3,4,1,130.76853,NA,1968,1965
"4369","TRAHUQF128F934EF0C","Jah Cure","Freedom",-6.304,85.731,1,5,0,287.65995,0.485122364,2008,2005
"4370","TRAHUQT128F4281228","Nickelback","We Will Rock You",-5.535,161.909,4,11,0,119.7971,0.627608603,2005,2005
"4371","TRAHUSK128F14AD120","Ron Goodwin","Personal Tragedy",-19.995,61.409,1,7,1,47.51628,0.212045405,1999,1995
"4372","TRAHUTQ128F4254D9A","George Nooks","Better Way Of Life",-5.641,149.827,4,7,0,223.50322,NA,2001,1995
"4374","TRAHUWM128F42801C0","Keb' Mo'","I'm Amazing",-10.981,88.746,1,7,1,194.48118,0.536032112,2004,1995
"4381","TRAHVGN128F1484412","Linkin Park","Pushing Me Away (Album Version)",-4.78,103.129,4,3,0,190.30159,NA,2000,1995
"4382","TRAHVMI128F93235CD","Whitney Cummings","Porn",-4.314,145.562,7,10,0,78.91546,0.215080319,2009,2005
"4383","TRAHVRW128F92F15FE","Ronnie Milsap","Why Don't You Spend The Night",-10.415,113.86,4,2,1,251.27138,NA,1980,1975
"4386","TRAHVVX128F4273BCC","The Flies","All Too Human",-11.814,95.051,3,5,0,222.40608,NA,2007,2005
"4387","TRAHVWT128F148D428","EPMD","Mr. Bozack",-11.498,173.423,4,6,0,159.26812,0.476248227,1990,1985
"4389","TRAHVZW128F146477A","Between The Buried And Me","Use Of A Weapon (Album Version)",-5.765,179.406,4,1,1,291.39546,0.579038701,2002,1995
"4390","TRAHWBI128F4234331","Deborah Coleman","Confused",-3.432,127.122,4,5,1,209.44934,0.334706549,2000,1995
"4391","TRAHWBP12903CAEBFC","Dark Fortress","Evenfall",-3.832,127.817,4,3,1,336.16934,0.754404411,2010,2005
"4392","TRAHWEI128F4287988","Time Factory","Fleeting sound",-6.612,89.335,3,1,1,243.56526,NA,2006,2005
"4394","TRAHWNG128F932AFB7","Ayo","Down On My Knees",-10.372,182.705,4,7,0,240.95302,NA,2006,2005
"4399","TRAHXEG128F428F1EC","Mindy McCready","Be With Me",-9.018,88.942,4,9,1,231.33995,0,2002,1995
"4400","TRAHXFG12903CCED81","Elmore James","Strange Kinda Feeling (Take 4)",-10.985,172.9,5,5,1,57.39057,NA,1993,1985
"4401","TRAHXGG128F9350452","Korn","Right Now",-6.738,210.691,4,9,0,185.93914,NA,2003,1995
"4404","TRAHXKA128F426E903","Lisa Lisa & Cult Jam (featuring Full Force)","U Never Nu How Good U Had It",-7.311,107.944,4,6,1,285.12608,NA,1989,1985
"4406","TRAHXMC128F4267B70","BT","Knowledge Of Self (Evol Intent Remix)",-6.21,136.897,3,10,0,253.07383,0.578274893,2004,1995
"4410","TRAHXWI128F428B7DA","Geggy Tah","Special Someone",-9.781,103.046,4,8,1,231.54893,0,2001,1995
"4412","TRAHYDH128F9325200","Bumblefoot","Piranha",-4.793,98.784,4,2,1,200.35873,0.27224568,2008,2005
"4413","TRAHYFB128F4280BB8","Bukka White","Fixin' To Die Blues",-14.873,107.081,4,6,1,172.30322,NA,1940,1965
"4416","TRAHYLE128F1494718","David Gilmour Featuring Richard Wright","Arnold Layne",-7.204,138.43,1,2,1,202.1873,NA,2006,2005
"4418","TRAHYMJ128E0787801","Red Hot Chili Peppers","Venice Queen (Album Version)",-5.278,88.57,4,0,1,367.01995,0.911733498,2002,1995
"4419","TRAHYON12903CC36EF","Seven Mary Three","People Like New (LP Version)",-10.133,77.885,4,9,0,238.10567,0,1997,1995
"4421","TRAHYVC128F421BB24","Willie Bobo","It's Not Unusual",-12.039,113.552,7,0,1,139.49342,NA,2008,2005
"4425","TRAHZCF128F9316036","Alexis HK","Maudits anglois",-12.215,160.066,4,11,0,202.57914,0.327736683,2009,2005
"4426","TRAHZET128F4271AA0","Tha Liks featuring King T","The Bubble",-5.17,89.311,5,1,1,251.6371,NA,2001,1995
"4430","TRAHZHD128F1462C2D","Peter Tosh","Soon Come (2002 Digital Remaster)",-7.261,92.643,4,11,0,238.23628,NA,1978,1975
"4431","TRAHZIL12903CF1DC2","Blind Willie Johnson","If I Had My Way I'd Tear This Building Down",-16.111,164.641,1,5,1,189.3873,0.358534976,1996,1995
"4432","TRAHZLK12903CA2DCA","Onesidezero","Awake (Album Version)",-6.036,86.844,4,11,0,228.80608,0.206396916,2001,1995
"4433","TRAHZLT12903CBEE31","Fito Paez","La Ley De La Vida",-6.116,124.989,4,4,0,273.03138,0.496175336,2010,2005
"4434","TRAHZMM128E07838FF","Wet Wet Wet","Goodnight Girl",-4.925,93.156,4,2,1,257.25342,NA,1992,1985
"4437","TRAHZQF128F92F7F6C","Rhian Sheehan","An Afternoon On the Moon (Jet Jaguar's Remix)",-12.88,98.998,4,5,0,200.77669,NA,2001,1995
"4438","TRAHZQU128F92DDCAB","The Fabulous Thunderbirds","Rainin' In My Heart",-14.977,110.98,3,4,0,221.23057,0.215080319,1989,1985
"4442","TRAHZXY128F930A09A","Kool Keith","Wanna Be A Star",-4.224,181.208,4,9,0,222.30159,0.323112121,1996,1995
"4753","TRAIACZ128F428C60A","Kanye West / Adam Levine","Heard 'Em Say",-11.38,95.098,4,6,1,204.5122,NA,2005,2005
"4754","TRAIADF12903D0023E","Mikey Dread","Hot Cross Bun",-8.173,132.088,4,6,0,193.12281,NA,1982,1975
"4755","TRAIAFH128F4271742","Lou Ann Barton","Please Come Home For Christmas",-10.733,87.485,3,3,1,241.26649,0.454042766,1986,1985
"4756","TRAIAFX128F92F7F4C","Rhian Sheehan","Existing Alone",-17.549,42.782,1,1,1,288.62649,0.270775999,2001,1995
"4762","TRAIAMS128EF34DC1B","Y&T","Black Tiger",-8.112,170.773,4,6,0,275.9571,0.334706549,1982,1975
"4763","TRAIAOL12903CEB667","Dolores Keane","Telling Me Lies",-14.375,114.093,4,9,1,229.92934,0,1993,1985
